RefDes,Name,X (mm),Y (mm),Side,Rotate
C1,X5R or X7R/16V/0402,20.94,20.003,Top,180
C2,X5R or X7R/10V/0603,19.685,50.38,Top,90
C3,X5R or X7R/16V/0402,21.273,50.18,Top,90
C4,X5R or X7R/10V/0603,22.543,12.915,Top,90
C5,X5R or X7R/10V/0603,20.955,12.915,Top,90
C6,C0G or NP0/16V/0402,25.082,19.035,Top,90
C7,X5R or X7R/10V/0402,27.622,15.89,Top,90
C8,X5R or X7R/16V/0402,28.893,15.89,Top,90
C9,X5R or X7R/10V/0402,34.607,14.908,Top,270
C10,ECA-1HM102,19.367,31.79,Bottom,270
C11,X5R or X7R/100V/1206,20.768,26.67,Top,0
C12,X5R or X7R/16V/0603,16.178,48.26,Top,180
C13,X5R or X7R/10V/0402,66.055,21.908,Top,270
C14,X5R or X7R/16V/0402,64.77,21.893,Top,270
C15,X5R or X7R/10V/0402,55.563,35.893,Top,90
C16,X5R or X7R/16V/0402,53.975,35.893,Top,90
C17,X5R or X7R/16V/0402,55.563,33.352,Top,90
C18,X5R or X7R/16V/0402,52.705,21.893,Top,270
C19,X5R or X7R/16V/0402,52.705,19.352,Top,270
C20,X5R or X7R/16V/0402,53.325,23.813,Top,180
C21,X5R or X7R/16V/0402,52.705,16.842,Top,90
C22,X5R or X7R/10V/0402,6.325,55.059,Top,90
D1,B1100-13-F,25.083,13.715,Top,270
D2,ST1060,12.04,23.495,Top,90
D3,B1100-13-F,16.255,31.75,Top,180
D4,B1100-13-F,20.575,17.78,Top,0
D5,1.5KE51CA,5.715,23.39,Top,90
D6,B1100-13-F,45.022,12.383,Top,0
D7,BLUE LED,63.817,49.677,Top,270
D8,PESD1CAN 215,54.435,51.535,Top,180
D9,PESD1CAN 215,51.577,48.678,Top,180
D10,PESD1CAN 215,54.435,45.82,Top,180
J1,RAPC722X,5.556,37.689,Bottom,180
J2,WJ128V-5.0-2P,7.615,8.695,Top,180
J3,TYPE-C-31-M-12,65.008,30.328,Top,810
J4,HDR-2x3/100 mil pitch male,39.211,24.447,Top,180
J5,HDR-1x3/0.1  male/vertical,62.23,10.16,Top,90
J6,DS1128-06-S8B0P-X,60.811,48.336,Bottom,90
J7,HDR-1x4/0.1  male/vertical,54.61,8.89,Top,270
J8,HDR-1x4/0.1  male/vertical,59.69,8.89,Top,270
J9,HDR-1x10,32.055,9.042,Bottom,180
J10,HDR-1x3/0.1  male/vertical,52.07,10.16,Top,90
J11,HDR-1x4/0.1  male/vertical,57.15,8.89,Top,270
L1,WPN4020H100MT,17.78,13.572,Top,270
M1,ESP32-WROOM-32D,32.702,45.225,Top,0
Q1,BC817,52.245,43.397,Top,0
Q2,BC817,52.245,39.587,Top,0
Q3,BC817,30.58,5.255,Top,90
Q4,BC817,35.66,5.255,Top,90
Q5,BC817,40.74,5.255,Top,90
R1,1%/0402,18.097,48.88,Top,270
R2,1%/0402,26.352,19.035,Top,270
R3,1%/0402,31.115,11.763,Top,0
R4,1%/0402,17.145,23.48,Top,270
R5,1%/0402,27.622,19.035,Top,90
R6,1%/0402,44.45,33.481,Top,270
R7,1%/0402,48.88,42.227,Top,180
R8,1%/0402,48.91,44.133,Top,0
R9,1%/0402,63.817,46.023,Top,270
R10,1%/0402,48.793,40.322,Top,0
R11,1%/0402,57.8,32.067,Top,0
R12,1%/0402,57.8,29.051,Top,0
R13,1%/0402,48.793,38.418,Top,180
R14,1%/0402,55.563,42.56,Top,90
R15,1%/0402,23.178,6.018,Top,270
R16,1%/0402,28.258,6.018,Top,270
R17,1%/0402,29.225,2.54,Top,180
R18,1%/0402,34.305,2.54,Top,180
R19,1%/0402,39.385,2.54,Top,180
S1,K2-1107ST-A4SW-06,16.827,42.138,Top,270
S2,K2-1107ST-A4SW-06,16.827,5.784,Top,270
U1,ME6211C33M5G-N or RT9080-33GJ5,31.796,14.455,Top,0
U2,LMR14006YDDCR,20.274,22.693,Top,180
U3,CP2102-GMR,51.394,30.393,Top,180
U4,SP3232EEA-L/TR or MAX232ECPWR,59.163,20.268,Top,0
U5,WS2813,6.337,50.054,Top,270
