RefDes,Name,X (mil),Y (mil),Side,Rotate
C1,X5R or X7R/16V/0402,874.41,800,Top,180
C2,X5R or X7R/10V/0603,775,1983.46,Top,90
C3,X5R or X7R/16V/0402,837.5,1975.59,Top,90
C4,X5R or X7R/10V/0603,887.5,508.46,Top,90
C5,X5R or X7R/10V/0603,825,508.46,Top,90
C6,C0G or NP0/16V/0402,1000,786.91,Top,90
C7,X5R or X7R/10V/0402,1087.5,625.59,Top,90
C8,X5R or X7R/16V/0402,1137.5,625.59,Top,90
C9,X5R or X7R/10V/0402,1362.5,586.91,Top,270
C10,X5R or X7R/16V/0603,636.91,1900,Top,180
C11,X5R or X7R/50V/1206,848.87,1037.5,Top,0
C12,EEU-FC1J331L,762.5,1254.67,Bottom,270
C13,X5R or X7R/10V/0402,2600.59,862.5,Top,270
C14,X5R or X7R/16V/0402,2550,861.91,Top,270
C15,X5R or X7R/10V/0402,2187.5,1413.09,Top,90
C16,X5R or X7R/16V/0402,2125,1413.09,Top,90
C17,X5R or X7R/16V/0402,2187.5,1313.09,Top,90
C18,X5R or X7R/16V/0402,2075,861.91,Top,270
C19,X5R or X7R/16V/0402,2075,761.91,Top,270
C20,X5R or X7R/16V/0402,662.5,861.91,Top,270
C21,X5R or X7R/16V/0402,2099.41,937.5,Top,180
C22,X5R or X7R/16V/0402,2075,663.09,Top,90
C23,X5R or X7R/10V/0402,150,1811.91,Top,270
C24,X5R or X7R/16V/0402,525.59,750,Top,0
D1,B1100-13-F,987.5,539.96,Top,270
D2,ST1060,199.02,1025,Top,90
D3,B1100-13-F,564.96,1250,Top,180
D4,B1100-13-F,835.04,712.5,Top,0
D5,B1100-13-F,1772.54,487.5,Top,0
D6,BLUE LED 0805,2512.5,1955.8,Top,270
D7,PESD1CAN 215,2143.1,2028.95,Top,180
D8,PESD1CAN 215,2030.6,1916.45,Top,180
D9,PESD1CAN 215,2143.1,1803.95,Top,180
J1,RAPC722X,218.75,1483.81,Bottom,180
J2,WJ128V-5.0-2P,299.81,342.31,Top,180
J3,TYPE-C-31-M-12,2559.36,1194,Top,810
J4,HDR-1x3/0.1  male/vertical,2450,400,Top,90
J5,DS1128-06-S8B0P-X,2394.12,1903,Bottom,90
J6,HDR-1x4/0.1  male/vertical,2150,350,Top,270
J7,HDR-1x4/0.1  male/vertical,2350,350,Top,270
J8,HDR-1x10,1262,356,Bottom,180
J9,HDR-1x4/0.1  male/vertical,2250,350,Top,270
J10,HDR-1x2,162.5,2137.5,Top,90
J11,HDR-1x2,362.5,2137.5,Top,90
L1,WPN4020H100MT,700,534.35,Top,270
M1,ESP32-WROOM-32D,1287.5,1780.5,Top,0
Q1,BC817,2056.9,1708.55,Top,0
Q2,BC817,2056.9,1558.55,Top,0
Q3,BC817,1203.95,206.9,Top,90
Q4,BC817,1403.95,206.9,Top,90
Q5,BC817,1603.95,206.9,Top,90
R1,1%/0402,712.5,1924.41,Top,270
R2,1%/0402,1050,786.91,Top,270
R3,1%/0402,1225,463.09,Top,0
R4,1%/0402,725,936.91,Top,270
R5,1%/0603,612.5,854.04,Top,270
R6,1%/0402,1100,786.91,Top,90
R7,1%/0603,612.5,983.46,Top,90
R8,1%/0402,1750,1318.16,Top,270
R9,1%/0402,1924.41,1662.5,Top,180
R10,1%/0402,2512.5,1811.91,Top,270
R11,1%/0402,1925.59,1737.5,Top,0
R12,1%/0402,1900,1925.59,Top,180
R13,1%/0402,1920.97,1587.5,Top,0
R14,1%/0402,2275.59,1262.5,Top,0
R15,1%/0402,2275.59,1143.75,Top,0
R16,1%/0402,1920.97,1512.5,Top,180
R17,1%/0402,2187.5,1675.59,Top,90
R18,1%/0402,912.5,236.91,Top,270
R19,1%/0402,1112.5,236.91,Top,270
R20,1%/0402,1150.59,100,Top,180
R21,1%/0402,1350.59,100,Top,180
R22,1%/0402,524.41,700,Top,0
R23,1%/0402,1550.59,100,Top,180
R24,1%/0402,550,624.41,Top,270
S1,K2-1107ST-A4SW-06,662.5,1658.96,Top,270
S2,K2-1107ST-A4SW-06,662.5,227.71,Top,270
U1,ME6211C33M5G-N or RT9080-33GJ5,1251.81,569.08,Top,0
U2,LMR14006YDDCR,848.19,905.92,Top,180
U3,CP2102-GMR,2023.38,1196.56,Top,180
U4,SP3232EEA-L/TR or MAX232ECPWR,2329.23,797.93,Top,0
U5,WS2813,321.46,1837.99,Top,0
U6,CC6900SO-05A,318.8,675,Top,0
