Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C16, C17, C18, C8",0402,6,0.1u,C56392
C12,CP_Radial_D12.5mm_P5.00mm_L25mm,1,1500uF,C2832301
"C15, C3, C4",0402,3,1u,C1518208
"C2, C5, C7, C9",0603,4,10u,C194427
C6,0402,1,22p,C76960
"D1, D2, D3",D_SMA,3,B1100,C110106
D4,0603,1,Blue,C7496819
D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
"J1, J2","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,Screw_Terminal_01x02,C8269
J3,RJ45_Connfly_DS1128-09-S8xx-S_Horizontal,1,RJ45,C86575
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,L_Sunlord_SWPA4020S,1,10uH,C98364
"Q1, Q2",SOT-23,2,BC817,C52801
R10,0402,1,47k,C25792
"R11, R12, R13, R3",0402,4,10k,C60490
"R14, R8, R9",0402,3,1k,C11702
"R18, R22, R5",0402,3,10,C25077
R2,0402,1,54.9k,C5126159
R23,0603,1,0.1,C111027
"R6, R7",0402,2,220,C112291
"SW1, SW2",SW_TACT_TS-1088-AR02016,2,SW_Push,C720477
U1,SOT-23-6,1,LMR14006,C477919
U2,SOT-23-5,1,ME6211C33,C82942
U3,SOT-23-8,1,INA219AIDCN,C87469
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,C8963
U5,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias,1,HUSB238,C7471904
U7,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913199
